"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","minuslog10padj","diffexpressed"
"GOBP_MITOTIC_SPINDLE_ORGANIZATION","GOBP_MITOTIC_SPINDLE_ORGANIZATION","13/237","119/11652",0.109243697478992,5.37091798744814,6.90546309660193,8.49924298089418e-07,7.95998066762366e-05,6.75928906393436e-05,"26934/71819/16551/52276/268697/72119/100502766/66977/26886/18005/218977/18817/20877",13,4.09908798703049,"down"
"GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING","GOBP_MITOTIC_CELL_CYCLE_CHECKPOINT_SIGNALING","14/237","141/11652",0.099290780141844,4.88158721608762,6.68159571975899,1.03392803323418e-06,9.08724287450162e-05,7.71651388963377e-05,"12534/208628/52276/268697/66977/76464/12236/77011/12235/18817/12189/71007/67629/20877",14,4.04156786441515,"down"
"GOBP_IMMUNE_EFFECTOR_PROCESS","GOBP_IMMUNE_EFFECTOR_PROCESS","26/237","441/11652",0.0589569160997732,2.89859065989265,5.85660959544953,1.05009200256492e-06,9.08724287450162e-05,7.71651388963377e-05,"26365/140474/16590/12266/77777/12268/14961/18826/21926/12262/12260/16792/12259/20556/16182/11801/13421/14727/14728/21948/26909/100504404/16149/77125/14962/19204",26,4.04156786441515,"down"
"GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION","GOBP_MYELOID_LEUKOCYTE_DIFFERENTIATION","17/237","207/11652",0.0821256038647343,4.03766892924846,6.35382910177998,1.07066189979401e-06,9.08724287450162e-05,7.71651388963377e-05,"12977/26365/16878/16590/13386/56419/21926/12262/12978/20308/14727/24108/14728/12349/16149/77125/17082",17,4.04156786441515,"down"
"GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","GOBP_CELL_CYCLE_CHECKPOINT_SIGNALING","16/237","185/11652",0.0864864864864865,4.2520697913103,6.4244896146243,1.1283695008791e-06,9.28682292238674e-05,7.88598907950909e-05,"12534/208628/52276/268697/56419/66977/19361/76464/12236/77011/12235/18817/12189/71007/67629/20877",16,4.0321328353353,"down"
"GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","GOBP_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","12/237","106/11652",0.113207547169811,5.56579890136136,6.80411666522447,1.54372146068026e-06,0.000119792785348788,0.000101723119409036,"12977/26365/16878/13386/21926/12262/12978/20308/14727/14728/12349/16149",12,3.92156933701817,"down"
"GOBP_CELL_CELL_JUNCTION_ORGANIZATION","GOBP_CELL_CELL_JUNCTION_ORGANIZATION","15/237","171/11652",0.087719298245614,4.31268043526538,6.28789897859243,2.06002566081059e-06,0.000155417491521155,0.000131974158562456,"12740/26365/231830/12737/53624/18260/67451/21926/269116/218518/12978/195733/14623/27375/14619",15,3.80850010494548,"down"
"GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION","GOBP_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION","11/237","91/11652",0.120879120879121,5.94296842398108,6.82069528695911,2.20905245327015e-06,0.000162156390894101,0.000137696555479798,"208628/17216/52276/268697/66977/76464/12236/12235/18817/67629/20877",11,3.79006593027595,"down"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN","6/237","21/11652",0.285714285714286,14.0470162748644,8.62243918351943,2.79240328926518e-06,0.000199583350885375,0.000169477994647646,"17476/14961/13040/14960/100504404/16149",6,3.6998756901037,"down"
"GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS","GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_PROCESS","17/237","225/11652",0.0755555555555556,3.71465541490858,5.92458141372563,3.37383511827511e-06,0.00023495733798039,0.000199516133445095,"26934/12534/71819/14219/52276/13614/268697/54392/76464/21926/12704/12978/12235/16534/68612/67849/20877",17,3.62901098692693,"down"
"GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","9/237","61/11652",0.147540983606557,7.25378709275783,7.05611048878316,3.53504520181589e-06,0.000240029569203299,0.00020382326413628,"12977/26365/13386/21926/12978/20308/14727/14728/12349",9,3.61973525432669,"down"
"GOBP_B_CELL_MEDIATED_IMMUNITY","GOBP_B_CELL_MEDIATED_IMMUNITY","11/237","96/11652",0.114583333333333,5.6334388185654,6.56830179203473,3.7647345083208e-06,0.000244088507831176,0.000207269948321101,"12266/12268/14961/21926/12262/12260/12259/21948/26909/100504404/16149",11,3.61245266754306,"down"
"GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION","GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION","6/237","22/11652",0.272727272727273,13.4085155350978,8.39380987657308,3.77456455409035e-06,0.000244088507831176,0.000207269948321101,"12534/208628/12615/76464/12236/20877",6,3.61245266754306,"down"
"GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS","GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS","19/237","278/11652",0.0683453237410072,3.36016756215281,5.73887069266513,3.92355646494567e-06,0.000247822775785871,0.000210440935488274,"16878/12534/208628/52276/268697/56419/100502766/66977/19361/76464/12236/77011/12235/18005/18817/12189/71007/67629/20877",19,3.60585878293339,"down"
"GOBP_COMPLEMENT_ACTIVATION","GOBP_COMPLEMENT_ACTIVATION","7/237","34/11652",0.205882352941176,10.1221146686523,7.67515431145641,4.4389056102642e-06,0.000274001537215399,0.000232670865839446,"12266/12268/12262/12260/12259/11801/14962",7,3.56224700067489,"down"
"GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_DIFFERENTIATION","8/237","49/11652",0.163265306122449,8.02686644277964,7.10219200724459,5.71574676674502e-06,0.000344977071521766,0.000292940378150604,"12977/16878/13386/21926/12978/20308/12349/16149",8,3.46220976881798,"down"
"GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","GOBP_POSITIVE_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION","6/237","24/11652",0.25,12.2911392405063,7.97826924736336,6.58056874408948e-06,0.000388539667585805,0.000329931947787187,"12977/13386/21926/12978/20308/12349",6,3.41056463571973,"down"
"GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","GOBP_NEGATIVE_REGULATION_OF_MITOTIC_CELL_CYCLE_PHASE_TRANSITION","14/237","166/11652",0.0843373493975904,4.14640841848406,5.88305013810319,7.18323701534016e-06,0.000415099398588593,0.000352485381872571,"12534/208628/52276/268697/66977/76464/12236/77011/12235/18817/12189/71007/67629/20877",14,3.38184789584298,"down"
"GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY","GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY","22/237","373/11652",0.0589812332439678,2.89978620151356,5.37330710405589,7.39357972576967e-06,0.000418353386149801,0.000355248534630731,"26934/53311/71819/208628/12615/16551/52276/13614/72119/56419/100502766/18826/21926/26886/18005/218977/18817/71007/20877/432995/18175/17930",22,3.37845671148711,"down"
"GOBP_MITOTIC_SPINDLE_ASSEMBLY","GOBP_MITOTIC_SPINDLE_ASSEMBLY","9/237","67/11652",0.134328358208955,6.60419421877952,6.62857807918583,7.83943028287235e-06,0.000434528421393496,0.000368983711058503,"26934/71819/16551/52276/72119/100502766/18005/18817/20877",9,3.36198181219418,"down"
"GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","GOBP_REGULATION_OF_INFLAMMATORY_RESPONSE","17/237","247/11652",0.0688259109311741,3.38379541843899,5.4561666763449,1.17179006009993e-05,0.000624035647692433,0.000529905474030742,"12266/52033/217166/18787/100340/21926/13040/12978/14087/16534/381463/13421/83490/11687/20201/77125/17082",17,3.20479060077604,"down"
"GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN","GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_ANTIGEN","6/237","27/11652",0.222222222222222,10.9254571026723,7.43967106495147,1.3750655730275e-05,0.000718207326219747,0.000609872200506731,"17476/14961/13040/14960/100504404/16149",6,3.14375016907825,"down"
"GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","GOBP_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE","13/237","154/11652",0.0844155844155844,4.15025480848266,5.67038709684939,1.51684972547544e-05,0.000777313934790808,0.000660063107947702,"140474/12266/77777/14961/21926/16182/14727/14728/100504404/11687/16149/77125/17082",13,3.10940354669242,"down"
